transaction_id,customer_id,timestamp,amount,transaction_country,txn_velocity_1h,txn_velocity_24h,is_new_payee,card_present,account_age_days,chargeback_history,prior_alerts,device_id,ip_country,merchant_id,merchant_category,merchant_country,merchant_risk_level,country_mismatch_flag,true_fraud,rule_score,triggered_rules,rule_alert_level,rule_score_normalized
T000006,C0053,2026-01-03 11:21:00,18.29,SG,2,5,1,1,1259,1,0,D0069,SG,M040,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000764,C0015,2026-01-03 13:49:00,3.03,MY,1,6,1,0,1750,1,0,D0165,VN,M025,Travel,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000113,C0229,2026-01-03 14:28:00,30.56,SG,1,0,0,0,48,0,0,D0198,SG,M004,Gaming,MY,High,0,0,25,"['High Risk Merchant', 'New Account']",Low,0.45454545454545453
T000285,C0110,2026-01-03 18:27:00,32.51,MY,0,4,0,1,103,3,0,D0030,SG,M043,Telecom,PH,Low,1,0,30,"['Country Mismatch', 'Chargeback History']",Medium,0.5454545454545454
T000573,C0185,2026-01-03 18:40:00,37.87,SG,1,4,0,0,1192,0,0,D0105,ID,M019,Money Transfer,VN,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000372,C0078,2026-01-03 18:54:00,97.32,MY,0,3,0,1,1000,0,0,D0369,SG,M044,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000889,C0213,2026-01-03 21:18:00,185.88,SG,3,3,1,0,660,0,0,D0226,SG,M028,Telecom,VN,Low,0,0,0,[],Low,0.0
T000246,C0047,2026-01-04 02:59:00,68.73,SG,0,2,0,1,235,0,1,D0195,MY,M004,Gaming,MY,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000555,C0210,2026-01-04 04:51:00,14.02,SG,4,4,0,0,392,2,0,D0046,SG,M023,Telecom,SG,Low,0,0,35,"['High Transaction Velocity (1h)', 'Chargeback History']",Medium,0.6363636363636364
T000761,C0147,2026-01-04 07:08:00,25.22,VN,1,2,0,1,122,0,3,D0378,SG,M047,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000918,C0282,2026-01-04 08:09:00,26.65,ID,4,5,0,1,1999,1,1,D0361,SG,M043,Telecom,PH,Low,1,0,35,"['High Transaction Velocity (1h)', 'Country Mismatch']",Medium,0.6363636363636364
T000845,C0073,2026-01-04 08:35:00,31.44,SG,1,2,0,1,1685,1,2,D0114,MY,M038,Grocery,PH,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000490,C0129,2026-01-04 15:17:00,138.29,SG,1,5,1,0,1457,1,1,D0273,TH,M027,Luxury Goods,PH,High,1,1,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000677,C0181,2026-01-04 19:26:00,18.87,MY,3,3,1,1,153,0,2,D0049,MY,M047,Money Transfer,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000110,C0180,2026-01-04 20:10:00,10.72,SG,1,5,0,0,1723,0,0,D0384,SG,M005,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000256,C0069,2026-01-04 20:19:00,11.63,SG,3,4,0,1,332,1,0,D0088,SG,M032,Grocery,SG,Low,0,0,0,[],Low,0.0
T000318,C0049,2026-01-04 21:20:00,11.39,SG,0,3,0,0,350,0,1,D0219,SG,M031,Digital Services,VN,Medium,0,0,0,[],Low,0.0
T000864,C0087,2026-01-04 23:13:00,14.96,TH,4,2,1,1,857,0,0,D0396,SG,M009,Gaming,VN,High,1,0,50,"['High Transaction Velocity (1h)', 'Country Mismatch', 'High Risk Merchant']",High,0.9090909090909091
T000389,C0002,2026-01-05 00:41:00,24.84,ID,2,4,0,1,445,0,0,D0377,VN,M024,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000308,C0025,2026-01-05 02:15:00,34.29,SG,0,5,0,1,936,0,1,D0144,SG,M035,Luxury Goods,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000477,C0289,2026-01-05 03:09:00,51.73,SG,2,4,0,1,1846,1,3,D0279,MY,M001,Gaming,PH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000355,C0288,2026-01-05 05:42:00,145.2,SG,0,3,1,1,1181,1,0,D0204,SG,M021,Luxury Goods,ID,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000247,C0173,2026-01-05 08:55:00,21.49,SG,1,4,0,1,954,0,0,D0080,SG,M039,Grocery,SG,Low,0,0,0,[],Low,0.0
T000406,C0120,2026-01-05 14:55:00,17.0,SG,2,5,0,0,1095,0,0,D0106,PH,M027,Luxury Goods,PH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000102,C0034,2026-01-05 16:56:00,48.19,SG,2,4,0,0,61,2,0,D0321,SG,M044,Money Transfer,SG,High,0,0,40,"['High Risk Merchant', 'New Account', 'Chargeback History']",Medium,0.7272727272727273
T000707,C0163,2026-01-05 17:21:00,10.16,VN,2,6,1,1,1266,0,0,D0173,SG,M030,Travel,MY,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000301,C0210,2026-01-05 18:53:00,17.98,TH,0,3,0,1,1091,0,1,D0234,SG,M046,Travel,PH,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000039,C0078,2026-01-05 19:10:00,4.39,SG,1,2,0,1,1162,1,0,D0199,VN,M044,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000979,C0161,2026-01-05 19:41:00,30.01,ID,2,3,0,1,1466,1,1,D0030,SG,M014,Electronics,ID,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000975,C0035,2026-01-05 19:49:00,76.52,ID,2,5,0,0,1717,0,1,D0332,MY,M049,Luxury Goods,PH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000892,C0293,2026-01-05 20:10:00,73.18,MY,1,3,1,0,639,0,0,D0182,SG,M013,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000821,C0086,2026-01-05 22:34:00,13.44,TH,0,9,0,1,1846,0,0,D0247,SG,M011,Electronics,PH,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000939,C0261,2026-01-06 00:39:00,39.84,SG,2,4,0,0,1550,0,0,D0302,SG,M001,Gaming,PH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000639,C0137,2026-01-06 02:37:00,18.95,MY,1,4,0,1,652,0,0,D0326,SG,M034,Telecom,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000151,C0140,2026-01-06 03:12:00,7.39,SG,2,2,0,1,647,0,0,D0342,MY,M012,Gaming,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000240,C0184,2026-01-06 03:20:00,61.93,ID,0,4,0,0,1922,0,1,D0122,ID,M008,Digital Services,SG,Medium,0,0,0,[],Low,0.0
T000616,C0215,2026-01-06 05:43:00,24.46,SG,1,4,1,1,921,0,0,D0335,SG,M028,Telecom,VN,Low,0,0,0,[],Low,0.0
T000489,C0017,2026-01-06 10:05:00,42.07,VN,3,1,1,0,1204,1,0,D0197,MY,M044,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000032,C0022,2026-01-06 15:10:00,22.39,TH,0,3,0,1,1412,0,1,D0339,SG,M006,Money Transfer,MY,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000211,C0225,2026-01-06 15:55:00,44.12,SG,3,4,1,0,400,1,1,D0297,ID,M039,Grocery,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000476,C0069,2026-01-06 18:28:00,32.96,SG,1,4,0,1,544,1,0,D0330,SG,M048,Gaming,SG,High,0,1,15,['High Risk Merchant'],Low,0.2727272727272727
T000678,C0170,2026-01-06 18:55:00,323.19,PH,1,5,0,0,627,1,0,D0387,SG,M036,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000012,C0111,2026-01-06 19:52:00,54.98,SG,0,4,1,1,1819,0,0,D0152,SG,M018,Money Transfer,SG,High,0,1,15,['High Risk Merchant'],Low,0.2727272727272727
T000883,C0131,2026-01-06 20:15:00,154.41,SG,0,2,0,0,1300,1,0,D0166,SG,M003,Digital Services,SG,Medium,0,0,0,[],Low,0.0
T000202,C0014,2026-01-07 00:40:00,19.23,SG,3,5,0,1,717,0,0,D0225,PH,M044,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000900,C0105,2026-01-07 01:02:00,92.55,SG,2,7,0,1,1972,0,1,D0040,VN,M002,Travel,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000396,C0261,2026-01-07 01:16:00,21.94,SG,1,2,0,1,813,0,0,D0381,SG,M027,Luxury Goods,PH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000833,C0154,2026-01-07 11:37:00,6.12,VN,2,4,1,0,1903,1,1,D0080,SG,M047,Money Transfer,SG,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000701,C0155,2026-01-07 11:48:00,70.68,SG,2,7,1,0,1184,0,1,D0038,SG,M032,Grocery,SG,Low,0,0,0,[],Low,0.0
T000763,C0058,2026-01-07 13:15:00,58.96,SG,1,6,1,0,560,1,1,D0027,SG,M028,Telecom,VN,Low,0,0,0,[],Low,0.0
T000516,C0198,2026-01-07 13:15:00,16.63,SG,2,9,0,0,334,0,0,D0131,ID,M045,Travel,VN,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000106,C0083,2026-01-07 13:54:00,80.82,PH,1,4,0,0,1850,0,0,D0100,SG,M029,Money Transfer,TH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000553,C0015,2026-01-07 15:00:00,19.09,SG,3,2,0,1,1043,1,1,D0356,SG,M015,Money Transfer,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000501,C0172,2026-01-07 17:02:00,14.26,SG,2,4,0,1,1214,1,0,D0196,SG,M004,Gaming,MY,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000550,C0171,2026-01-07 19:43:00,36.22,SG,0,5,0,1,1040,0,1,D0075,SG,M048,Gaming,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000910,C0125,2026-01-07 20:20:00,14.16,PH,3,5,0,1,982,0,0,D0342,VN,M030,Travel,MY,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000352,C0162,2026-01-08 06:52:00,56.62,SG,3,3,0,1,537,0,1,D0014,SG,M044,Money Transfer,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000395,C0020,2026-01-08 09:27:00,22.33,VN,2,2,1,0,558,0,0,D0065,SG,M009,Gaming,VN,High,1,1,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000378,C0007,2026-01-08 10:49:00,3.62,SG,1,7,0,1,628,0,0,D0148,SG,M049,Luxury Goods,PH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000917,C0225,2026-01-08 13:56:00,6.92,SG,1,4,0,1,756,0,2,D0122,SG,M012,Gaming,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000026,C0122,2026-01-08 14:45:00,23.89,SG,2,2,0,1,1786,0,0,D0231,SG,M018,Money Transfer,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000418,C0281,2026-01-08 14:46:00,72.42,ID,4,0,0,1,492,0,0,D0019,SG,M003,Digital Services,SG,Medium,1,1,35,"['High Transaction Velocity (1h)', 'Country Mismatch']",Medium,0.6363636363636364
T000824,C0161,2026-01-08 14:55:00,17.56,ID,4,6,0,1,1162,2,2,D0139,SG,M037,Travel,SG,Medium,1,0,50,"['High Transaction Velocity (1h)', 'Country Mismatch', 'Chargeback History']",High,0.9090909090909091
T000825,C0202,2026-01-08 15:43:00,184.72,SG,0,2,0,1,1846,0,0,D0078,SG,M050,Luxury Goods,ID,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000373,C0288,2026-01-08 16:53:00,70.75,ID,1,4,0,1,217,0,1,D0125,VN,M034,Telecom,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000208,C0143,2026-01-08 17:11:00,26.62,SG,0,4,1,0,1212,1,1,D0226,SG,M013,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000685,C0045,2026-01-08 17:30:00,24.29,ID,0,4,0,1,264,0,0,D0327,MY,M019,Money Transfer,VN,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000697,C0295,2026-01-08 18:14:00,21.42,SG,1,2,0,0,796,0,1,D0392,VN,M031,Digital Services,VN,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000614,C0054,2026-01-08 20:58:00,135.87,ID,2,4,0,1,593,0,0,D0069,SG,M045,Travel,VN,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000198,C0089,2026-01-08 22:11:00,51.11,ID,2,4,0,1,1038,0,1,D0142,SG,M038,Grocery,PH,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000570,C0029,2026-01-09 06:58:00,68.86,MY,1,5,0,1,1497,1,0,D0229,SG,M003,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000591,C0061,2026-01-09 10:41:00,52.96,SG,0,3,0,1,1809,0,1,D0028,MY,M034,Telecom,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000251,C0243,2026-01-09 11:03:00,4.74,SG,0,2,0,1,597,1,0,D0039,SG,M023,Telecom,SG,Low,0,0,0,[],Low,0.0
T000004,C0034,2026-01-09 19:06:00,14.73,SG,1,4,0,0,853,0,0,D0271,SG,M041,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000168,C0130,2026-01-09 19:28:00,71.1,SG,2,1,0,1,1402,0,0,D0297,MY,M036,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000906,C0295,2026-01-09 20:43:00,42.85,SG,1,2,0,1,486,0,0,D0028,SG,M049,Luxury Goods,PH,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000253,C0282,2026-01-09 22:34:00,22.06,ID,3,2,0,1,863,0,0,D0348,SG,M022,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000769,C0012,2026-01-10 02:36:00,41.58,PH,2,2,0,1,1752,0,1,D0371,MY,M013,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000511,C0216,2026-01-10 05:24:00,161.22,TH,1,1,0,0,68,0,0,D0180,SG,M012,Gaming,SG,High,1,1,40,"['Country Mismatch', 'High Risk Merchant', 'New Account']",Medium,0.7272727272727273
T000414,C0014,2026-01-10 07:23:00,122.31,VN,1,4,0,0,1619,2,1,D0139,SG,M006,Money Transfer,MY,High,1,0,45,"['Country Mismatch', 'High Risk Merchant', 'Chargeback History']",Medium,0.8181818181818182
T000921,C0240,2026-01-10 08:16:00,12.1,TH,2,6,0,1,810,1,0,D0150,VN,M013,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000498,C0131,2026-01-10 09:00:00,28.74,PH,1,8,0,1,278,1,0,D0117,SG,M020,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000116,C0277,2026-01-10 09:45:00,38.25,SG,0,2,0,1,322,0,0,D0193,SG,M020,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000733,C0007,2026-01-10 14:07:00,125.4,VN,1,5,0,0,249,0,1,D0246,SG,M036,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000804,C0274,2026-01-10 14:43:00,37.46,MY,0,1,0,1,1565,1,0,D0024,SG,M026,Luxury Goods,VN,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000001,C0184,2026-01-10 17:06:00,15.92,SG,1,3,0,0,851,0,0,D0230,MY,M037,Travel,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000653,C0037,2026-01-10 23:57:00,30.7,SG,2,3,1,0,1024,1,0,D0155,SG,M020,Electronics,SG,Medium,0,0,0,[],Low,0.0
T000941,C0287,2026-01-11 01:29:00,40.76,SG,1,2,0,1,865,0,0,D0352,PH,M031,Digital Services,VN,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000243,C0136,2026-01-11 12:31:00,54.09,SG,2,5,1,1,1388,0,1,D0063,SG,M030,Travel,MY,Medium,0,0,0,[],Low,0.0
T000962,C0120,2026-01-11 14:14:00,12.55,SG,3,4,0,0,660,1,0,D0302,SG,M026,Luxury Goods,VN,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000602,C0072,2026-01-11 15:05:00,41.27,SG,1,3,0,0,1681,0,1,D0041,MY,M007,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000437,C0165,2026-01-11 15:38:00,50.85,SG,5,2,0,0,1196,1,1,D0268,MY,M024,Money Transfer,SG,High,1,0,50,"['High Transaction Velocity (1h)', 'Country Mismatch', 'High Risk Merchant']",High,0.9090909090909091
T000758,C0021,2026-01-11 18:05:00,8.34,SG,1,6,0,0,258,0,0,D0124,VN,M046,Travel,PH,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000093,C0025,2026-01-11 21:47:00,422.44,SG,3,5,0,1,1041,0,1,D0117,SG,M023,Telecom,SG,Low,0,0,0,[],Low,0.0
T000187,C0286,2026-01-11 21:48:00,47.72,SG,1,4,0,1,696,0,2,D0395,SG,M036,Digital Services,SG,Medium,0,0,0,[],Low,0.0
T000554,C0004,2026-01-12 08:44:00,85.14,SG,0,4,0,1,32,1,0,D0100,PH,M035,Luxury Goods,SG,High,1,0,40,"['Country Mismatch', 'High Risk Merchant', 'New Account']",Medium,0.7272727272727273
T000226,C0038,2026-01-12 08:51:00,4.41,TH,4,9,1,0,1372,1,1,D0198,MY,M001,Gaming,PH,High,1,1,50,"['High Transaction Velocity (1h)', 'Country Mismatch', 'High Risk Merchant']",High,0.9090909090909091
T000220,C0015,2026-01-12 13:26:00,12.56,SG,1,7,0,1,546,0,1,D0241,SG,M023,Telecom,SG,Low,0,0,0,[],Low,0.0
T000663,C0040,2026-01-12 15:39:00,14.71,SG,2,4,0,1,1679,0,0,D0363,SG,M043,Telecom,PH,Low,0,1,0,[],Low,0.0
T000486,C0073,2026-01-12 17:36:00,224.69,SG,4,2,0,1,746,0,1,D0111,PH,M031,Digital Services,VN,Medium,1,0,35,"['High Transaction Velocity (1h)', 'Country Mismatch']",Medium,0.6363636363636364
T000502,C0102,2026-01-12 18:44:00,90.29,SG,3,5,0,1,531,1,0,D0107,PH,M027,Luxury Goods,PH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000462,C0267,2026-01-12 19:39:00,20.31,SG,3,4,0,1,787,0,1,D0047,PH,M032,Grocery,SG,Low,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000929,C0014,2026-01-12 21:00:00,13.87,SG,2,3,0,1,1221,0,0,D0001,MY,M001,Gaming,PH,High,1,1,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000300,C0294,2026-01-13 02:29:00,32.52,SG,1,3,0,1,92,1,1,D0150,SG,M006,Money Transfer,MY,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000808,C0011,2026-01-13 06:00:00,20.75,SG,1,3,0,1,515,0,0,D0339,SG,M004,Gaming,MY,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000632,C0089,2026-01-13 11:15:00,13.65,SG,1,5,0,1,1326,1,0,D0014,MY,M004,Gaming,MY,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000897,C0050,2026-01-13 12:17:00,11.0,PH,0,2,1,0,1158,0,1,D0005,ID,M003,Digital Services,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000090,C0145,2026-01-13 12:47:00,104.83,SG,4,6,0,1,1990,0,0,D0075,SG,M024,Money Transfer,SG,High,0,0,35,"['High Transaction Velocity (1h)', 'High Risk Merchant']",Medium,0.6363636363636364
T000374,C0120,2026-01-13 13:10:00,59.38,SG,1,4,1,0,257,0,1,D0383,SG,M036,Digital Services,SG,Medium,0,0,0,[],Low,0.0
T000567,C0096,2026-01-13 13:11:00,9.41,ID,3,5,0,0,183,0,0,D0058,PH,M006,Money Transfer,MY,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000059,C0207,2026-01-13 14:21:00,77.86,PH,0,4,0,1,176,0,1,D0010,SG,M001,Gaming,PH,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000907,C0243,2026-01-13 18:24:00,145.65,SG,1,6,0,0,984,0,0,D0077,SG,M048,Gaming,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000332,C0158,2026-01-13 21:49:00,28.04,SG,1,5,0,1,986,1,1,D0250,ID,M006,Money Transfer,MY,High,1,0,30,"['Country Mismatch', 'High Risk Merchant']",Medium,0.5454545454545454
T000341,C0194,2026-01-13 23:51:00,48.06,SG,1,4,0,1,210,0,0,D0130,ID,M005,Electronics,SG,Medium,1,0,15,['Country Mismatch'],Low,0.2727272727272727
T000625,C0145,2026-01-14 02:48:00,298.73,SG,1,6,1,0,1946,0,1,D0241,SG,M024,Money Transfer,SG,High,0,0,15,['High Risk Merchant'],Low,0.2727272727272727
T000725,C0270,2026-01-14 05:45:00,196.78,SG,0,5,0,0,196,0,0,D0075,SG,M003,Digital Services,SG,Medium,0,0,0,[],Low,0.0
